id,pert,gene,task,label
de_2310011J03Rik_Ccl2,2310011J03Rik,Ccl2,de,1
de_2310011J03Rik_Lrp1,2310011J03Rik,Lrp1,de,1
de_2310011J03Rik_Rock2,2310011J03Rik,Rock2,de,0
de_2310011J03Rik_Gm57176,2310011J03Rik,Gm57176,de,0
de_2310011J03Rik_Or2t26,2310011J03Rik,Or2t26,de,0
de_2310011J03Rik_Arhgef6,2310011J03Rik,Arhgef6,de,0
de_2310011J03Rik_Gm56848,2310011J03Rik,Gm56848,de,0
de_Aars_H2-Q7,Aars,H2-Q7,de,1
de_Aars_Sqstm1,Aars,Sqstm1,de,1
de_Aars_Zfp53,Aars,Zfp53,de,0
de_Aars_Arl9,Aars,Arl9,de,0
de_Aars_Jmjd7,Aars,Jmjd7,de,0
de_Aars_Reps1,Aars,Reps1,de,0
de_Aars_Ptp4a1,Aars,Ptp4a1,de,0
de_Abi1_Ctsl,Abi1,Ctsl,de,1
de_Abi1_Cotl1,Abi1,Cotl1,de,1
de_Abi1_Igsf11,Abi1,Igsf11,de,0
de_Abi1_Snx5,Abi1,Snx5,de,0
de_Abi1_Gpr18,Abi1,Gpr18,de,0
de_Abi1_Gm16174,Abi1,Gm16174,de,0
de_Abi1_Ch25h,Abi1,Ch25h,de,0
de_Arpc2_Actb,Arpc2,Actb,de,1
de_Arpc2_Actg1,Arpc2,Actg1,de,1
de_Arpc2_Ifi213,Arpc2,Ifi213,de,0
de_Arpc2_Plekhf2,Arpc2,Plekhf2,de,0
de_Arpc2_Ccdc142os,Arpc2,Ccdc142os,de,0
de_Arpc2_Ube2c,Arpc2,Ube2c,de,0
de_Arpc2_Ifngr1,Arpc2,Ifngr1,de,0
de_Arpc3_Actb,Arpc3,Actb,de,1
de_Arpc3_Actg1,Arpc3,Actg1,de,1
de_Arpc3_Nhp2,Arpc3,Nhp2,de,0
de_Arpc3_Mtmr1,Arpc3,Mtmr1,de,0
de_Arpc3_Phkb,Arpc3,Phkb,de,0
de_Arpc3_Farp2,Arpc3,Farp2,de,0
de_Arpc3_Gm14461,Arpc3,Gm14461,de,0
de_Arpc4_Actg1,Arpc4,Actg1,de,1
de_Arpc4_Cotl1,Arpc4,Cotl1,de,1
de_Arpc4_Gm15581,Arpc4,Gm15581,de,0
de_Arpc4_Ifi202b,Arpc4,Ifi202b,de,0
de_Arpc4_Gm568,Arpc4,Gm568,de,0
de_Arpc4_Wrn,Arpc4,Wrn,de,0
de_Arpc4_Tnfsf8,Arpc4,Tnfsf8,de,0
